Артикул	Наименование товара	Розничные	Оптовые	Дилерские	Спец.	Ед.изм.	
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,167 х 2,7 м,  цены в EUR"							
							
10401	"Панели ""Белый Брилиант"" 0,176 х 2700"	8,76	8,14	7,62	6,90	м2	10,95
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,25 х 2,6 м,  цены в EUR"							
							
10224	"Панели  ""Alba Marble Beige"" 0,25х2,6 (0,65 м2)"	9,06	8,04	7,21	6,90	м2	11,325
10223	"Панели  ""Alba Marble Grey"" 0,25х2,6 (0,65 м2)"	9,06	8,04	7,21	6,90	м2	11,325
10203	"Панели ""AQUAREL"" (пастельн.)"	8,76	8,14	6,90	6,90	м2	10,95
10204	"Панели ""Blank Frene"" (ясень белый) 0,25x2,7 м"	7,21	6,70	6,18	5,66	м2	9,0125
10206	"Панели ""Equinox"" (Эквинокс) 0,25x2,6 м"	9,28	8,24	7,62	7,10	м2	11,6
10232	"Панели ""Inari Blue"" 0.25х2,6 м"	9,28	8,24	7,62	7,10	м2	11,6
10233	"Панели ""Inari Grey"" 0.25х2,6 м"	9,28	8,24	7,62	7,10	м2	11,6
10208	"Панели ""Marble Vert"" (Мрамор зеленый)"	8,76	7,73	6,80	6,38	м2	10,95
10245	"Панели ""Pachino Beige"" 0.25x2.7м"	9,06	8,04	7,21	6,90	м2	11,325
10236	"Панели ""Pachino Beige"" 0.25х2.6 м"	9,06	8,04	7,21	6,90	м2	11,325
10248	"Панели ""Pachino Beige"" матовая, 0.25х2.6 м"	9,06	8,04	7,21	6,90	м2	11,325
10235	"Панели ""Pachino Blue"" 0.25х2.6 м"	9,06	8,04	7,21	6,90	м2	11,325
10242	"Панели ""Pachino зеленый"" 0.25х2.6 м"	9,06	8,04	7,21	6,90	м2	11,325
10241	"Панели ""Pachino розовый"" 0.25х2.6 м"	9,06	8,04	7,21	6,90	м2	11,325
10213	"Панели ""Perlato"" (перламутровый)0,25х2,6 м"	9,28	8,24	7,42	7,10	м2	11,6
10214	"Панели ""Uliano"" (Marble) 0,25х2,6 м"	8,76	7,73	6,80	6,38	м2	10,95
10244	"Панели ""Uliano"" (Marble) светлая 0,25х2,6 м"	8,76	7,73	6,80	6,38	м2	10,95
10238	"Панели ""Uliano"" (под плитку) 0,25х2,8 м"	7,21	6,70	6,18	5,66	м2	9,0125
10503	"Панели ""Vert"" (зеленый) 0,25x2,6м"	8,76	8,14	7,52	7,10	м2	10,95
10215	"Панели ""Zalm"" (лососевый)"	8,76	8,14	7,52	7,10	м2	10,95
10222	"Панели ""Абрикосовый"" 0,25х2,6"	8,76	8,14	7,62	6,38	м2	10,95
10217	"Панели ""Бианко""  снежно-белые 2,6 м"	7,42	6,90	6,38	5,82	м2	9,275
10216	"Панели ""Бианко"" молочно-белые 2,6 м"	7,42	6,90	6,38	5,82	м2	9,275
10246	"Панели ""Голубой"" 0,25х2,6"	8,76	8,14	7,62	6,38	м2	10,95
							
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,25 х 6 м,  цены в EUR"							
							
10264	"Панели ""OBDESSYS абрикос"" 0,25х6м"	7,54	7,04	6,55	5,82	м2	9,425
10265	"Панели ""OBDESSYS голубой"" 0,25х6м"	7,54	7,04	6,55	5,82	м2	9,425
10266	"Панели ""OBDESSYS зеленый"" 0,25х6м"	7,54	7,04	6,55	5,82	м2	9,425
10267	"Панели ""OBDESSYS коричневый"" 0,25х6м"	7,54	7,04	6,55	5,82	м2	9,425
10262	"Панели ""PACHINO Beige"" глянец, 0.25х6 м"	9,06	8,04	7,21	6,90	м2	11,325
10249	"Панели ""PACHINO Blue"" глянец, 0.25х6 м"	9,06	8,04	7,21	6,90	м2	11,325
10268	"Панели ""PACHINO абрикос"" глянец, 0.25х6 м"	9,06	8,04	7,21	6,90	м2	11,325
10250	"Панели ""PACHINO зеленый"" глянец, 0.25х6 м"	9,06	8,04	7,21	6,90	м2	11,325
10261	"Панели ""PACHINO розовый"" глянец, 0.25х6 м"	9,06	8,04	7,21	6,90	м2	11,325
10263	"Панели ""ULIANO"" (Marble) глянец, 0,25х6 м"	8,76	7,73	6,80	6,38	м2	10,95
10489	"Панели ""ULIANO"" (Черная) глянец, шов, 0,25х6 м"	7,54	7,04	6,55	5,82	м2	9,425
							
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,407 х 2,6 м,  цены в EUR"							
							
11320	"Панели ""Pachino Beige"" 0,407 х 2,6 м"	9,06	8,04	7,21	6,90	м2	11,325
							
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" двойные,  цены в EUR"							
							
10602	"Панели пластик ""Вишня"" дв. 2,6м"	9,28	8,24	7,62	7,10	м2	11,6
10301	"Панели пластик ""Гавана"" ламинир. 2,6м"	9,28	8,24	7,62	7,10	м2	11,6
10302	"Панели пластик ""Ява"" ламинир. 2,6м"	9,28	8,24	7,62	7,10	м2	11,6
							
"01 Панели пластиковые. 01 Панели пластик ""Моно"",  цены в EUR"							
							
10702	"Моно  P1 Панели ""Снежно-белые"" бесшов."	6,38	5,87	5,35	4,54	м2	7,975
10701	"Моно  P2 Панели ""Молочно-белые"" бесшов."	6,38	5,87	5,35	4,54	м2	7,975
10285	"Моно P2 V-панель (шов) ""Молочно-белая"" 6м"	5,42	4,99	4,55	3,86	м2	6,775
10229	"Панели ""Бианко"" P1 снежно-белые 6 м"	7,42	6,90	6,38	5,82	м2	9,275
10228	"Панели ""Бианко"" P2 молочно-белые 6 м"	7,42	6,90	6,38	5,82	м2	9,275
							
01 Панели пластиковые. 01 Панели пластик 0,1х6,  цены в EUR							
							
10119	"P1 Панели пласт. ""Trexel"" 0,1 х 6м"	3,16	3,04	2,94	2,72	м2	3,95
10114	P10 Панели Синие 0,1 х 6м Bamoplast	6,07	5,77	5,57	5,35	м2	7,5875
10120	"P2 Панели пласт. ""Trexel"" 0,1 х 6м"	3,16	3,04	2,94	2,72	м2	3,95
10101	Р1 Панели Снежно-белые	3,96	3,88	3,71	3,50	м2	4,95
10102	Р2 Панели Молочно-белые	3,96	3,88	3,71	3,50	м2	4,95
10103	Р4 Панели Черные	5,98	5,77	5,57	5,32	м2	7,475
10104	Р6 Панели Мрамор	4,02	3,91	3,82	3,71	м2	5,025
10105	Р7 Панели Темное дерево	5,98	5,77	5,57	5,32	м2	7,475
10106	Р8 Панели Светлое дерево	5,98	5,77	5,57	5,32	м2	7,475
10107	Р9 Панели Зеленые	5,98	5,77	5,57	5,32	м2	7,475
							
01 Панели пластиковые. 01 Панели пластик. 6м (Харьков),  цены в $							
							
10117	 P1 Панели пластик., 0,1 х 6м, Харьков	3,25	3,20	3,16	2,90	м2	
10118	 P2 Панели пластик., 0,1 х 6м, Харьков	3,25	3,20	3,16	2,90	м2	
10112	P1 Панели пластик двойные 0,125 х 6 м (п7,5м2)	3,20	3,10	3,00	2,80	м2	
10286	P1 Панели пластик., 0,1 х 6м, Харьков (легкий)	2,86	2,80	2,76	2,50	м2	
10113	P2 Панели пластик двойные 0,125 х 6 м (п7,5м2)	3,20	3,10	3,00	2,80	м2	
10269	"Моно P1 ""Снежно-белая"" 0,25 х 6 м (Харьков)"	5,80	5,30	4,80	4,00	м2	
10270	"Моно P2 ""Молочно-белая"" 0,25 х 6 м (Харьков)"	5,80	5,30	4,80	4,00	м2	
							
01 Панели пластиковые. 01 Панели пластиковые Deceuninck глянец,  цены в EUR							
							
10251	Панели 5048 Белые лак. 0,3 х 6м Deceuninck	10,61	10,00	9,48	8,96	м2	13,2625
10252	Панели 5112 Оникс розов. лак. 0,3 х 6м Deceuninck	10,61	10,00	9,48	8,96	м2	13,2625
10253	Панели 5113 Оникс зелен. лак. 0,3 х 6м Deceuninck	10,61	10,00	9,48	8,96	м2	13,2625
10254	Панели 5114 Мрамор лак. 0,3 х 6м Deceuninck	10,61	10,00	9,48	8,96	м2	13,2625
10255	Панели 5121 Мрамор фист. 0,25 х 6м Deceuninck	9,28	8,65	8,04	7,62	м2	11,6
10256	Панели 5122 Мрамор розов. 0,25 х 6м Deceuninck	9,28	8,65	8,04	7,62	м2	11,6
10257	Панели 5123 Мрамор голуб. 0,25 х 6м Deceuninck	9,28	8,65	8,04	7,62	м2	11,6
10258	Панели 5124 Мрамор крем. 0,25 х 6м Deceuninck	9,28	8,65	8,04	7,62	м2	11,6
10259	Панели 5125 Мрамор серый 0,25 х 6м Deceuninck	9,28	8,65	8,04	7,62	м2	11,6
10260	Панели 5126 Белый глянец, 0,25 х 6м Deceuninck	9,28	8,65	8,04	7,62	м2	11,6
							
01 Панели пластиковые. 01 Профиль пластиковый (Bamoplast),  цены в EUR							
							
10855	Профиль 062 P1 многофункциональный	0,84	0,80	0,78	0,72	м.п.	1,05
