  0.876176902321171269E-03 /* coefficient of tap     0 */
  0.116793469546544859E-02 /* coefficient of tap     1 */
  0.136332631469765397E-02 /* coefficient of tap     2 */
  0.136560377894498552E-02 /* coefficient of tap     3 */
  0.107994890681707533E-02 /* coefficient of tap     4 */
  0.432868348608509112E-03 /* coefficient of tap     5 */
  -.607470387289708213E-03 /* coefficient of tap     6 */
  -.201346618346578098E-02 /* coefficient of tap     7 */
  -.368655927476669997E-02 /* coefficient of tap     8 */
  -.545520623935191384E-02 /* coefficient of tap     9 */
  -.708455319043550080E-02 /* coefficient of tap    10 */
  -.829842371478610374E-02 /* coefficient of tap    11 */
  -.881232315747670291E-02 /* coefficient of tap    12 */
  -.837418452686169345E-02 /* coefficient of tap    13 */
  -.680785651320128781E-02 /* coefficient of tap    14 */
  -.405316781430133499E-02 /* coefficient of tap    15 */
  -.196044831178915970E-03 /* coefficient of tap    16 */
  0.451723933113120956E-02 /* coefficient of tap    17 */
  0.968603397033474777E-02 /* coefficient of tap    18 */
  0.147834387387245751E-01 /* coefficient of tap    19 */
  0.192055638011183571E-01 /* coefficient of tap    20 */
  0.223377575632979885E-01 /* coefficient of tap    21 */
  0.236307771487510409E-01 /* coefficient of tap    22 */
  0.226777397302066319E-01 /* coefficient of tap    23 */
  0.192816535189502857E-01 /* coefficient of tap    24 */
  0.135036282803548779E-01 /* coefficient of tap    25 */
  0.568357177790224188E-02 /* coefficient of tap    26 */
  -.357184346112277051E-02 /* coefficient of tap    27 */
  -.134352354679379693E-01 /* coefficient of tap    28 */
  -.229354968810969861E-01 /* coefficient of tap    29 */
  -.310583440780805242E-01 /* coefficient of tap    30 */
  -.368595082905912807E-01 /* coefficient of tap    31 */
  -.395773250686640931E-01 /* coefficient of tap    32 */
  -.387307790516718775E-01 /* coefficient of tap    33 */
  -.341901581467832116E-01 /* coefficient of tap    34 */
  -.262103000011728681E-01 /* coefficient of tap    35 */
  -.154206685726548498E-01 /* coefficient of tap    36 */
  -.277166767158954918E-02 /* coefficient of tap    37 */
  0.105579722514511065E-01 /* coefficient of tap    38 */
  0.232829170713723554E-01 /* coefficient of tap    39 */
  0.341483801578243895E-01 /* coefficient of tap    40 */
  0.420668047495859109E-01 /* coefficient of tap    41 */
  0.462379365058558366E-01 /* coefficient of tap    42 */
  0.462379365058558366E-01 /* coefficient of tap    43 */
  0.420668047495859109E-01 /* coefficient of tap    44 */
  0.341483801578243895E-01 /* coefficient of tap    45 */
  0.232829170713723554E-01 /* coefficient of tap    46 */
  0.105579722514511065E-01 /* coefficient of tap    47 */
  -.277166767158954918E-02 /* coefficient of tap    48 */
  -.154206685726548498E-01 /* coefficient of tap    49 */
  -.262103000011728681E-01 /* coefficient of tap    50 */
  -.341901581467832116E-01 /* coefficient of tap    51 */
  -.387307790516718775E-01 /* coefficient of tap    52 */
  -.395773250686640931E-01 /* coefficient of tap    53 */
  -.368595082905912807E-01 /* coefficient of tap    54 */
  -.310583440780805242E-01 /* coefficient of tap    55 */
  -.229354968810969861E-01 /* coefficient of tap    56 */
  -.134352354679379693E-01 /* coefficient of tap    57 */
  -.357184346112277051E-02 /* coefficient of tap    58 */
  0.568357177790224188E-02 /* coefficient of tap    59 */
  0.135036282803548779E-01 /* coefficient of tap    60 */
  0.192816535189502857E-01 /* coefficient of tap    61 */
  0.226777397302066319E-01 /* coefficient of tap    62 */
  0.236307771487510409E-01 /* coefficient of tap    63 */
  0.223377575632979885E-01 /* coefficient of tap    64 */
  0.192055638011183571E-01 /* coefficient of tap    65 */
  0.147834387387245751E-01 /* coefficient of tap    66 */
  0.968603397033474777E-02 /* coefficient of tap    67 */
  0.451723933113120956E-02 /* coefficient of tap    68 */
  -.196044831178915970E-03 /* coefficient of tap    69 */
  -.405316781430133499E-02 /* coefficient of tap    70 */
  -.680785651320128781E-02 /* coefficient of tap    71 */
  -.837418452686169345E-02 /* coefficient of tap    72 */
  -.881232315747670291E-02 /* coefficient of tap    73 */
  -.829842371478610374E-02 /* coefficient of tap    74 */
  -.708455319043550080E-02 /* coefficient of tap    75 */
  -.545520623935191384E-02 /* coefficient of tap    76 */
  -.368655927476669997E-02 /* coefficient of tap    77 */
  -.201346618346578098E-02 /* coefficient of tap    78 */
  -.607470387289708213E-03 /* coefficient of tap    79 */
  0.432868348608509112E-03 /* coefficient of tap    80 */
  0.107994890681707533E-02 /* coefficient of tap    81 */
  0.136560377894498552E-02 /* coefficient of tap    82 */
  0.136332631469765397E-02 /* coefficient of tap    83 */
  0.116793469546544859E-02 /* coefficient of tap    84 */
  0.876176902321171269E-03 /* coefficient of tap    85 */
