  0.953827669175925763E-03 /* coefficient of tap     0 */
  0.108287341661851389E-02 /* coefficient of tap     1 */
  0.122145513158491891E-02 /* coefficient of tap     2 */
  0.136973324307880539E-02 /* coefficient of tap     3 */
  0.152783736400359693E-02 /* coefficient of tap     4 */
  0.169586465589739665E-02 /* coefficient of tap     5 */
  0.187387830851083911E-02 /* coefficient of tap     6 */
  0.206190614463382448E-02 /* coefficient of tap     7 */
  0.225993936006977369E-02 /* coefficient of tap     8 */
  0.246793140808436017E-02 /* coefficient of tap     9 */
  0.268579703702246508E-02 /* coefficient of tap    10 */
  0.291341148909510039E-02 /* coefficient of tap    11 */
  0.315060986759100192E-02 /* coefficient of tap    12 */
  0.339718667896888071E-02 /* coefficient of tap    13 */
  0.365289555544053223E-02 /* coefficient of tap    14 */
  0.391744916276614585E-02 /* coefficient of tap    15 */
  0.419051929705639114E-02 /* coefficient of tap    16 */
  0.447173717341589860E-02 /* coefficient of tap    17 */
  0.476069390827517313E-02 /* coefficient of tap    18 */
  0.505694119624803040E-02 /* coefficient of tap    19 */
  0.535999218132519317E-02 /* coefficient of tap    20 */
  0.566932252117756441E-02 /* coefficient of tap    21 */
  0.598437164230053575E-02 /* coefficient of tap    22 */
  0.630454418269027616E-02 /* coefficient of tap    23 */
  0.662921161770918310E-02 /* coefficient of tap    24 */
  0.695771406377799372E-02 /* coefficient of tap    25 */
  0.728936225353123745E-02 /* coefficient of tap    26 */
  0.762343967509767672E-02 /* coefficient of tap    27 */
  0.795920486722332398E-02 /* coefficient of tap    28 */
  0.829589386104786186E-02 /* coefficient of tap    29 */
  0.863272275848042625E-02 /* coefficient of tap    30 */
  0.896889043630464399E-02 /* coefficient of tap    31 */
  0.930358136437834559E-02 /* coefficient of tap    32 */
  0.963596852558781336E-02 /* coefficient of tap    33 */
  0.996521642457194545E-02 /* coefficient of tap    34 */
  0.102904841716541550E-01 /* coefficient of tap    35 */
  0.106109286279118886E-01 /* coefficient of tap    36 */
  0.109257075968791506E-01 /* coefficient of tap    37 */
  0.112339830480190450E-01 /* coefficient of tap    38 */
  0.115349243568241122E-01 /* coefficient of tap    39 */
  0.118277115462032744E-01 /* coefficient of tap    40 */
  0.121115385136978703E-01 /* coefficient of tap    41 */
  0.123856162290366333E-01 /* coefficient of tap    42 */
  0.126491758865903447E-01 /* coefficient of tap    43 */
  0.129014719974223535E-01 /* coefficient of tap    44 */
  0.131417854058502836E-01 /* coefficient of tap    45 */
  0.133694262157361598E-01 /* coefficient of tap    46 */
  0.135837366121056990E-01 /* coefficient of tap    47 */
  0.137840935641605977E-01 /* coefficient of tap    48 */
  0.139699113962880083E-01 /* coefficient of tap    49 */
  0.141406442142863308E-01 /* coefficient of tap    50 */
  0.142957881747123511E-01 /* coefficient of tap    51 */
  0.144348835860085822E-01 /* coefficient of tap    52 */
  0.145575168308865565E-01 /* coefficient of tap    53 */
  0.146633221003177904E-01 /* coefficient of tap    54 */
  0.147519829304146421E-01 /* coefficient of tap    55 */
  0.148232335344618633E-01 /* coefficient of tap    56 */
  0.148768599233829768E-01 /* coefficient of tap    57 */
  0.149127008089855772E-01 /* coefficient of tap    58 */
  0.149306482854222810E-01 /* coefficient of tap    59 */
  0.149306482854222810E-01 /* coefficient of tap    60 */
  0.149127008089855772E-01 /* coefficient of tap    61 */
  0.148768599233829768E-01 /* coefficient of tap    62 */
  0.148232335344618633E-01 /* coefficient of tap    63 */
  0.147519829304146421E-01 /* coefficient of tap    64 */
  0.146633221003177904E-01 /* coefficient of tap    65 */
